x,y,z
0.0,0.0,20.0
21.883,15.514,4.48
21.884,15.537,4.453
21.884,15.559,4.427
21.884,15.582,4.401
21.883,15.604,4.374
21.882,15.626,4.347
21.881,15.647,4.321
21.88,15.668,4.293
21.878,15.69,4.266
21.876,15.71,4.239
21.873,15.731,4.211
21.87,15.752,4.184
21.867,15.772,4.156
21.864,15.792,4.128
21.86,15.811,4.099
21.762,16.221,3.276
21.505,16.382,2.407
20.906,16.179,1.76
20.245,15.618,1.446
19.671,14.896,1.366
19.189,14.115,1.487
18.642,13.42,1.756
18.059,12.854,2.2
17.511,12.408,2.8
17.001,11.994,3.456
16.47,11.617,4.116
15.882,11.291,4.756
15.277,10.992,5.392
14.713,10.688,6.063
14.246,10.361,6.794
14.236,10.352,6.815
14.225,10.343,6.835
14.214,10.334,6.856
14.204,10.325,6.876
14.193,10.316,6.897
14.183,10.307,6.917
14.173,10.298,6.938
14.163,10.288,6.958
14.153,10.279,6.979
14.143,10.27,7.0
14.133,10.26,7.02
14.123,10.251,7.041
14.114,10.241,7.062
14.104,10.232,7.083
14.104,10.232,7.083
21.722,16.856,4.517
21.709,16.897,4.492
21.696,16.938,4.467
21.684,16.979,4.441
21.672,17.02,4.415
21.661,17.06,4.388
21.649,17.1,4.361
21.637,17.14,4.334
21.624,17.179,4.306
21.61,17.218,4.278
21.595,17.255,4.249
21.578,17.292,4.22
21.56,17.328,4.191
21.539,17.362,4.161
21.516,17.396,4.131
21.102,17.927,3.468
20.566,18.189,2.737
19.831,18.141,2.153
19.009,17.845,1.781
18.272,17.294,1.563
17.901,16.464,1.393
17.861,15.521,1.328
17.563,14.637,1.495
17.142,13.886,1.883
16.64,13.305,2.441
16.076,12.834,3.043
15.512,12.429,3.692
15.007,12.003,4.375
14.577,11.546,5.089
14.27,11.055,5.841
14.257,11.028,5.883
14.245,11.001,5.926
14.233,10.974,5.969
14.221,10.948,6.011
14.209,10.921,6.054
14.197,10.894,6.097
14.186,10.867,6.14
14.175,10.839,6.182
14.164,10.812,6.225
14.153,10.785,6.268
14.142,10.758,6.311
14.131,10.73,6.353
14.121,10.703,6.396
14.11,10.675,6.439
14.11,10.675,6.439
21.117,18.186,4.31
21.103,18.201,4.301
21.089,18.216,4.293
21.075,18.231,4.284
21.061,18.246,4.275
21.047,18.26,4.266
21.033,18.275,4.257
21.019,18.29,4.248
21.005,18.305,4.238
20.991,18.319,4.229
20.977,18.334,4.22
20.963,18.349,4.211
20.949,18.363,4.201
20.935,18.378,4.192
20.921,18.392,4.183
20.288,18.849,3.862
19.539,19.12,3.578
18.744,19.192,3.295
17.947,19.071,3.037
17.194,18.749,2.827
16.583,18.2,2.64
16.146,17.492,2.471
15.79,16.731,2.367
15.52,15.927,2.378
15.322,15.118,2.528
15.108,14.368,2.856
14.783,13.766,3.35
14.355,13.291,3.908
14.056,12.743,4.478
13.946,12.093,5.008
13.946,12.052,5.045
13.946,12.011,5.081
13.946,11.97,5.117
13.947,11.93,5.154
13.949,11.889,5.19
13.951,11.848,5.226
13.953,11.807,5.262
13.955,11.766,5.298
13.958,11.725,5.334
13.961,11.683,5.37
13.964,11.642,5.406
13.968,11.601,5.441
13.971,11.559,5.477
13.975,11.518,5.512
13.975,11.518,5.512
14.575,19.595,5.001
14.522,19.554,4.993
14.47,19.511,4.986
14.419,19.467,4.979
14.37,19.422,4.973
14.321,19.376,4.966
14.272,19.329,4.959
14.224,19.282,4.952
14.176,19.236,4.944
14.128,19.189,4.935
14.081,19.141,4.925
14.035,19.093,4.916
13.989,19.044,4.906
13.945,18.994,4.896
13.901,18.944,4.886
13.639,18.54,4.844
13.418,18.116,4.784
13.259,17.663,4.73
13.148,17.198,4.668
13.084,16.723,4.61
13.06,16.244,4.559
13.064,15.763,4.517
13.1,15.282,4.496
13.153,14.802,4.488
13.235,14.327,4.516
13.317,13.853,4.561
13.432,13.393,4.651
13.566,12.939,4.745
13.747,12.508,4.865
13.946,12.093,5.008
13.986,12.017,5.045
14.024,11.943,5.086
14.06,11.869,5.128
14.093,11.795,5.174
14.123,11.72,5.221
14.149,11.646,5.27
14.172,11.571,5.321
14.193,11.499,5.375
14.211,11.428,5.433
14.227,11.362,5.495
14.242,11.299,5.562
14.254,11.239,5.632
14.263,11.179,5.704
14.268,11.119,5.774
14.27,11.055,5.841
14.273,11.006,5.902
14.275,10.957,5.964
14.276,10.909,6.027
14.276,10.862,6.089
14.275,10.814,6.152
14.274,10.767,6.215
14.272,10.72,6.278
14.27,10.673,6.341
14.267,10.626,6.404
14.263,10.58,6.468
14.26,10.533,6.531
14.256,10.487,6.595
14.252,10.442,6.659
14.249,10.4,6.726
14.246,10.361,6.794
14.238,10.213,7.055
14.23,10.065,7.315
14.231,9.918,7.576
14.24,9.773,7.839
14.257,9.626,8.099
14.282,9.482,8.361
14.312,9.34,8.623
14.347,9.196,8.884
14.39,9.059,9.147
14.445,8.937,9.415
14.515,8.821,9.682
14.598,8.719,9.951
14.682,8.617,10.221
14.754,8.542,10.502
14.783,8.479,10.793
14.783,8.471,10.826
14.782,8.464,10.859
14.78,8.458,10.891
14.777,8.451,10.924
14.774,8.446,10.956
14.77,8.441,10.989
14.765,8.436,11.022
14.76,8.432,11.054
14.753,8.429,11.086
14.747,8.425,11.119
14.739,8.423,11.151
14.731,8.421,11.183
14.722,8.419,11.215
14.713,8.418,11.247
14.713,8.418,11.247
19.887,10.9,7.252
19.926,10.936,7.236
19.966,10.972,7.218
20.004,11.008,7.199
20.043,11.043,7.179
20.08,11.079,7.158
20.117,11.115,7.135
20.154,11.15,7.112
20.189,11.186,7.087
20.224,11.221,7.061
20.259,11.256,7.033
20.292,11.291,7.005
20.325,11.325,6.975
20.357,11.359,6.944
20.388,11.393,6.912
20.565,11.621,6.678
20.7,11.865,6.431
20.835,12.105,6.18
20.976,12.351,5.94
21.124,12.604,5.71
21.253,12.878,5.494
21.364,13.17,5.291
21.479,13.466,5.097
21.595,13.768,4.914
21.67,14.09,4.743
21.744,14.417,4.582
21.81,14.751,4.432
21.84,15.096,4.295
21.869,15.449,4.18
21.86,15.811,4.099
21.845,15.919,4.088
21.838,16.027,4.083
21.834,16.136,4.083
21.827,16.245,4.086
21.813,16.353,4.09
21.794,16.459,4.096
21.77,16.566,4.103
21.744,16.671,4.109
21.716,16.776,4.115
21.688,16.881,4.119
21.66,16.986,4.122
21.633,17.091,4.123
21.603,17.196,4.124
21.566,17.298,4.126
21.516,17.396,4.131
21.479,17.464,4.135
21.445,17.534,4.137
21.413,17.605,4.138
